e	mu
1000	73861.398438
2000	14707.799805
3000	5393.049805
4000	13705.400391
5000	7755.439941
6000	4840.850098
7000	3228.250000
8000	2272.120117
9000	1658.979980
10000	1252.130005
11000	968.627991
12000	764.796997
13000	616.215027
14000	505.433990
15000	419.778992
16000	352.627991
17000	299.092010
18000	256.296997
19000	221.462006
20000	192.742996
21000	168.910004
22000	148.970993
23000	132.039001
24000	117.831001
25000	105.688004
26000	554.796021
27000	504.217010
28000	459.679993
29000	420.217010
30000	385.134003
31000	353.898010
32000	325.884003
33000	300.725006
34000	278.041992
35000	257.641998
36000	238.998993
37000	222.320999
38000	206.998993
39000	193.251999
40000	180.550003
41000	169.070007
42000	158.500000
43000	148.820007
44000	139.959000
45000	131.744003
46000	124.181000
47000	117.195999
48000	110.674004
49000	104.717003
50000	99.185303
51000	93.998596
52000	89.230904
53000	84.750099
54000	80.597702
55000	76.645599
56000	72.974899
57000	69.608200
58000	66.394096
59000	63.397701
60000	60.554600
