e	mu
1000	3199.949951
2000	6110.629883
3000	2127.870117
4000	973.241028
5000	522.176025
6000	311.316986
7000	200.104004
8000	135.891998
9000	96.436501
10000	70.748299
11000	53.551399
12000	41.427502
13000	32.713001
14000	26.325800
15000	21.477600
16000	17.792101
17000	14.898400
18000	12.614300
19000	10.784700
20000	9.292500
21000	8.084450
22000	7.084300
23000	6.241960
24000	5.548610
25000	4.959420
26000	4.454670
27000	4.023170
28000	3.650210
29000	3.327170
30000	3.046280
31000	2.801390
32000	2.586410
33000	2.396440
34000	2.228220
35000	2.078890
36000	1.944580
37000	1.825920
38000	1.718060
39000	1.622490
40000	1.534890
41000	1.456590
42000	1.384910
43000	1.319960
44000	1.260430
45000	1.206110
46000	1.156290
47000	1.110210
48000	1.068070
49000	1.029790
50000	0.993731
51000	0.961104
52000	0.930580
53000	0.901755
54000	0.875805
55000	0.851190
56000	0.828098
57000	0.806681
58000	0.786583
59000	0.767730
60000	0.750270
