e	mu
1000	94762.203125
2000	19300.599609
3000	6709.770020
4000	3112.040039
5000	1701.640015
6000	1035.930054
7000	678.692993
8000	470.838989
9000	2481.090088
10000	1935.150024
11000	1527.290039
12000	1216.089966
13000	980.228027
14000	801.767029
15000	663.505005
16000	557.025024
17000	472.227997
18000	404.321014
19000	348.826996
20000	302.881989
21000	264.815002
22000	232.962997
23000	205.673004
24000	182.794998
25000	163.186005
26000	146.251007
27000	131.533997
28000	118.750000
29000	107.605003
30000	97.819000
31000	89.183403
32000	81.574997
33000	74.816498
34000	68.783401
35000	63.417801
36000	58.554100
37000	54.241501
38000	50.302799
39000	46.790100
40000	43.560001
41000	40.672100
42000	38.006699
43000	35.596401
44000	33.387699
45000	31.353399
46000	29.492500
47000	27.774799
48000	26.197901
49000	24.751200
50000	23.410299
51000	22.170300
52000	21.025299
53000	19.953300
54000	18.969900
55000	18.035101
56000	17.177999
57000	16.381100
58000	15.631300
59000	14.931600
60000	14.273800
