e	mu
1000	8755.139648
2000	1833.160034
3000	670.950989
4000	527.007996
5000	808.327026
6000	576.637024
7000	385.428986
8000	271.540009
9000	198.869003
10000	150.412003
11000	116.461998
12000	92.043602
13000	74.180000
14000	60.836800
15000	50.519501
16000	42.445202
17000	35.995998
18000	30.834801
19000	26.636700
20000	23.174000
21000	20.287701
22000	17.878599
23000	15.829500
24000	14.112600
25000	12.644800
26000	11.371400
27000	10.274800
28000	9.316040
29000	8.478700
30000	7.745170
31000	7.095240
32000	6.518420
33000	6.007090
34000	27.573400
35000	25.594000
36000	23.788300
37000	22.174200
38000	20.687599
39000	19.356800
40000	18.120199
41000	17.004400
42000	15.968900
43000	15.022400
44000	14.150500
45000	13.342700
46000	12.596600
47000	11.903200
48000	11.262800
49000	10.667100
50000	10.115800
51000	9.601510
52000	9.120920
53000	8.671730
54000	8.252610
55000	7.858340
56000	7.488600
57000	7.149150
58000	6.828030
59000	6.523950
60000	6.236600
